Year,Australia,Austria,Belgium,Canada,Chile,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States,Brazil,China,India,Indonesia,Morocco,Singapore,South Africa,Thailand,World
1990_REC_ktoe,4537.906035,4968.584523,409.0585775,34894.3065,3776.642365,1177.883018,927.6550882,190.3232188,5470.772075,14743.79174,5051.813566,1131.52952,797.8677988,742.4478642,172.1690869,404.1030802,4346.641013,13301.81848,1127.798434,322.3127077,47.83250402,12009.7395,647.1156612,2932.187078,10316.35095,1536.862255,3608.942972,350.5349163,456.1575353,6393.615846,10939.68996,3124.086148,9900.147922,899.6522834,54011.94163,55548.25058,224131.801,142557.5318,46423.89405,1099.985097,9.755324561,8488.170427,9730.45501,1069628.743
1991_REC_ktoe,4635.192231,5207.561741,414.5008329,34916.98116,4398.187914,1163.814166,987.3096226,188.5823966,5319.581876,16737.9166,4732.150632,1231.56083,831.7683639,734.1514784,171.6465444,430.936668,5483.198497,14079.9243,1158.422351,318.6122122,50.95320075,11364.63458,653.5332192,2935.544634,10470.80349,1274.396029,3483.893889,278.898691,486.626639,6266.884232,10442.967,3351.273542,9947.202331,875.5475554,58383.14856,55245.80903,226294.3124,144439.987,47465.83122,1195.42324,25.5385454,8784.235138,10136.12908,1090868.849
1992_REC_ktoe,4264.620135,5413.452272,412.0568977,35129.86168,5064.706354,1714.987358,1065.893547,208.8570821,5569.355002,17223.02222,4785.757199,1169.187654,834.8884446,752.8463409,164.3871696,453.315891,5681.239478,12620.63974,1113.94779,311.7688711,60.96512906,11586.77438,669.7488044,2769.69276,10453.45133,1388.948922,3138.219847,287.8093959,471.9336548,5251.187439,11329.84057,3322.028037,10272.64337,1193.183487,62054.25646,55834.93191,228501.5752,146849.63,48354.47437,1191.660059,25.65196729,8789.370194,10605.90957,1109839.834
1993_REC_ktoe,5069.636011,5526.968707,326.0617439,35800.84071,4806.110644,1640.80938,1097.232219,200.6191493,5740.540755,16242.84868,4906.901526,1179.045013,858.9708811,770.6995439,161.7370302,485.4230059,5586.275832,13480.96206,1138.134156,452.373742,61.76972452,11490.37224,682.4310271,3020.204442,10702.41901,3979.759764,3418.96363,457.9893912,451.1444963,5662.53275,11732.90165,3407.86763,10892.46256,1116.783537,56752.47253,56793.46739,228991.471,147501.436,49292.69699,1151.095778,25.89476604,8865.869898,9531.56164,1117425.629
1994_REC_ktoe,4969.679579,5238.608749,348.7882608,36934.41299,4970.22438,1589.009313,1042.382784,278.9272913,5837.898394,16191.90048,5201.568267,1194.259876,871.9041899,787.7013979,174.6341769,501.1862163,6067.815638,11195.12975,1154.605615,498.3394203,85.64039926,10717.36445,715.657616,3295.787363,10815.63929,3893.769884,3674.416646,510.3329247,478.5170572,6072.970027,10975.92971,3389.513177,10522.22256,1474.483088,55488.99673,59934.67056,231997.733,149439.3895,49367.68878,1207.597212,25.95004537,9106.578436,9554.52718,1129385.538
1995_REC_ktoe,5117.474151,5452.801211,478.0153369,38125.97616,5207.472505,1454.844505,1089.866789,333.2243496,6101.404563,16179.35278,5412.32237,1275.79833,934.5897577,806.3788851,155.813476,532.9179667,5377.803983,12740.22477,1252.400522,527.0943652,111.6259043,11540.71251,737.0724809,3479.909266,11159.75824,4086.000858,3610.416113,461.5931905,478.6444081,5690.898237,12143.31182,3364.783122,10629.79255,1525.627264,65119.96055,59605.12745,231137.0966,151045.7727,49336.66581,1209.218122,27.43591819,9470.423711,10077.63064,1160540.312
1996_REC_ktoe,5692.396398,5558.527885,476.9133625,38781.3425,5306.456241,1467.850447,1095.930063,614.4894411,6118.693287,16496.38782,5451.904765,1354.350853,910.6290504,794.2485724,164.2023549,555.4456021,5781.945135,12660.05408,1216.644171,581.7071704,88.5892536,11580.96315,793.4633451,3449.018054,10945.90351,4018.346847,4006.920916,454.913179,508.8902091,6972.759084,11552.21338,3256.162868,11057.85399,1429.185022,67718.27094,60441.8093,232918.0306,152216.6122,50985.58489,1329.972771,28.23237636,9654.944826,10450.52174,1179102.706
1997_REC_ktoe,5963.35868,5682.53771,458.139483,38749.63851,5529.426825,1549.661732,1193.370008,604.2383993,6753.639937,15577.20712,6751.893342,1335.076807,893.3225142,837.4986533,168.5195109,601.0722941,5944.482253,13465.95552,1231.783721,588.2959791,127.3791981,11344.96514,895.6556848,3285.945335,11088.18669,4018.596893,4091.705397,447.8788067,473.4671498,6703.599317,12869.01434,3313.674006,11194.89765,1519.002792,64976.00561,62745.09326,236460.7157,154861.8606,51121.82122,1360.90386,35.79970118,9805.499932,10644.39524,1195744.768
1998_REC_ktoe,5727.928345,5676.39537,522.9710571,38198.27747,5504.64793,1573.661274,1245.223525,502.7579509,7409.786602,15545.34344,7255.543915,1331.196993,897.0826082,910.8221349,216.7717011,650.7748037,5999.651127,13143.40226,1285.282763,655.1197272,195.6416405,11244.69096,929.7935034,3479.441358,11656.38807,4070.534337,4006.62257,415.5209256,504.0809579,6965.181314,12921.71104,3340.336253,11616.30437,1524.734678,65196.70523,65044.52523,234871.4667,157065.127,51301.43807,1351.204993,32.69261778,9882.282451,9880.421816,1208430.377
1999_REC_ktoe,5757.807972,6205.071542,570.2889952,39897.41143,5713.50857,1656.466208,1319.063766,515.7824929,7367.928389,15703.6302,7628.045939,1397.439663,886.9992898,998.9551944,206.157875,643.2713726,6488.616244,12763.98752,1248.337642,699.2518916,178.0645667,11720.55288,977.2886239,3514.547037,11769.50677,3882.819022,3502.050586,427.3448241,505.2483554,6152.391196,12419.44173,3667.1514,10670.32177,1430.445922,85102.39002,66918.93905,233205.0167,158632.455,51863.92016,1288.736033,31.56248614,10087.6872,10509.37844,1245932.601
2000_REC_ktoe,5861.128897,6213.548462,604.9098388,40318.88064,6392.102966,1551.763656,1530.587977,512.3927843,7738.730714,15009.8075,8562.960601,1392.247721,889.8627658,1072.477234,219.2425444,715.1633216,6595.931671,13208.1708,1181.71466,755.3055549,223.1669829,11592.33051,1039.299646,3745.728917,11916.6481,4001.458278,3893.67295,425.822278,737.0769642,6740.633044,14121.71506,3590.024922,9987.006628,1449.960726,83957.72814,65689.69826,232253.6686,162718.3995,54760.24784,1303.577202,27.00437525,10129.10227,11120.50065,1258690.808
2001_REC_ktoe,5878.616013,6366.842371,677.5347267,38049.86841,6547.504199,1679.198916,1625.046718,533.7648615,7255.874658,15770.0662,9181.077643,1305.101774,914.1719175,1113.178994,216.9754648,738.2147617,7089.163494,12436.59294,1274.974579,811.5757756,116.6197068,10551.51452,1070.582852,3471.934711,12148.38227,4220.880017,4059.364165,708.8982423,717.5086402,8003.833938,13226.74544,3807.180853,9438.055358,1286.422642,71110.21204,63386.90918,227800.469,163886.3518,54558.62316,1335.109306,53.0595356,10168.59148,10492.44575,1244351.011
2002_REC_ktoe,6095.257697,6193.927505,685.1063968,41408.18916,6832.442749,1907.275523,1707.262692,530.0508497,7539.947847,14202.36893,10234.97865,1372.106654,933.7605042,1149.665018,246.3878773,751.3650383,7389.059435,12500.82329,1259.778079,858.1653669,44.55826636,9996.091416,1175.395793,3880.238823,11883.15436,4289.884053,3646.458867,653.6150726,669.4231465,6742.035802,12842.20895,3608.837433,9990.315213,1435.220411,73749.51291,67959.44705,227557.9602,166121.1248,54772.15715,1338.575479,60.08497778,10160.71569,11783.30009,1266392.985
2003_REC_ktoe,5068.103262,5981.574128,790.9630451,41703.76259,6576.633699,1838.34519,1870.648403,567.9310995,7339.627771,14791.69538,11892.45692,1503.00059,932.5995244,1145.428505,222.3038084,785.0210914,8615.691605,13685.49602,1317.536109,892.8041304,46.05357965,9900.067549,1214.038915,3598.170577,11371.76348,4320.846259,4415.84498,608.3131787,699.2579102,8546.774947,12187.57898,3691.393246,9880.477333,1400.385499,81990.3925,72539.16687,221702.2232,170768.2513,54523.40171,1410.630381,66.71537855,10171.31322,12976.0624,1291784.214
2004_REC_ktoe,4846.648861,6252.74342,858.0744416,43520.61284,6809.881754,2000.133422,2148.721165,597.6156507,8119.465539,14995.70301,13647.90693,1542.303181,864.4511977,1180.513481,265.0518054,850.1138057,8188.462935,13657.05069,1423.192658,920.6842951,54.86171749,10433.79774,1422.002255,4034.528833,11651.28604,4457.656907,4054.931924,705.5077657,783.0101532,7982.850929,12452.89988,3734.614848,10607.02907,1709.515349,85874.53587,76725.37443,217942.1079,173235.0211,54598.69066,2514.844662,67.84018729,10133.07534,13845.4561,1324192.747
2005_REC_ktoe,4848.327694,6566.013515,1029.2055,43213.76061,7047.347506,2099.239805,2409.928892,575.2677563,7971.932106,14404.04035,15671.23239,1610.554742,955.1114427,1200.588824,353.52225,836.6879425,9469.957676,12471.80379,1474.526328,935.1882274,77.36377831,10922.76121,1746.099513,3670.607498,11983.19689,4463.095743,3697.69496,738.7393666,751.4730805,7440.205387,13810.80113,3918.569685,10001.5932,2011.164518,91300.86481,79779.1736,223381.6072,173962.7532,54866.21333,2316.129008,72.02469044,9847.926139,14154.39952,1360041.315
2006_REC_ktoe,4993.290207,7228.061014,1165.077834,42132.52087,7536.393963,2212.186577,2306.099041,525.1902238,8283.221782,13992.43441,18334.98073,1760.994806,1082.695724,1311.044521,409.0744053,851.0404304,10506.39594,13652.16958,1439.856121,983.6585794,84.75787265,10923.42503,1977.589411,3728.495005,11642.45924,4658.154781,4400.24829,748.2485282,755.3130703,8417.222585,14163.1743,3762.705578,10353.47695,2268.800883,99702.65516,83357.7965,225468.163,174948.7238,54893.87214,2165.354412,71.62473324,10006.89612,14813.08907,1400620.996
2007_REC_ktoe,5213.342138,7698.512885,1338.590279,43448.09641,6971.481932,2265.36708,2681.513608,605.041562,8461.05735,15123.57555,20943.57983,1728.478323,1183.426301,1479.882919,438.6067761,871.0699475,12108.98818,12627.41712,1451.0172,1086.516492,143.5103954,10734.25823,2292.303111,3710.186718,12046.17475,4734.412733,4721.525314,949.3346202,729.4381134,9163.162326,14867.38356,3890.34609,9568.44589,2616.44331,99358.35587,89169.79252,215161.0379,181191.1256,55440.69507,2041.244891,75.11788632,10358.35633,15741.62859,1421738.214
2008_REC_ktoe,5168.763297,7914.128846,1662.728581,43222.02309,6962.690332,2465.3394,2764.951904,654.5272335,8935.251342,17057.43609,19808.0536,1721.582022,1284.634371,1879.146969,523.0755713,1223.371519,14992.17875,12522.17023,1406.506962,1128.997403,158.0591334,11422.14862,2433.15167,3581.328534,12260.87128,5292.323591,4523.743157,902.1038338,764.3806851,9542.945736,15159.63357,4084.03005,9173.935531,3944.57971,104876.6976,92186.13584,212241.6264,183625.0612,54339.21092,1885.039442,63.19679983,10637.31693,16707.50326,1444326.013
2009_REC_ktoe,5351.406635,8039.015779,1906.171365,41710.83625,7101.424633,2691.125273,2761.179551,686.0481326,7856.946283,17524.17268,20935.46495,1841.183141,1560.226994,1910.172324,604.4788139,1171.73776,16402.24737,12417.54288,1540.756877,1056.548989,138.2750075,10170.69557,2657.280735,3805.936084,11367.81004,5750.700734,4709.300697,1084.606885,958.6490277,11112.83396,15172.56371,4097.437125,9925.64501,4477.543897,106783.6036,93917.22575,211746.4653,182780.1049,54349.7883,1908.90665,62.37629165,10718.58938,17781.04865,1467187.537
2010_REC_ktoe,6187.998727,8451.51964,2467.81562,41362.33012,6452.397988,2930.206865,3199.381598,747.8655841,8880.441052,18925.91485,23870.87792,2161.467662,2552.608669,1909.626597,606.6150926,1261.897882,17111.45968,14430.75324,1347.027377,1158.927804,144.2647049,10974.29287,2527.587274,4070.38379,12093.47504,6639.854317,5272.28863,1175.898962,1017.953103,13281.1201,16103.72653,4411.606995,11240.28232,5021.270531,113552.3526,99325.0759,211948.7084,188901.2526,55113.57561,1904.863013,72.57197443,10690.24828,19233.99112,1524967.448
2011_REC_ktoe,6505.292814,8233.04958,2604.345663,42657.72156,7219.114456,3134.509261,3410.621619,720.0256744,8816.257864,16800.75334,25182.666,2114.652708,2762.541792,1936.500123,702.4033807,1270.803912,15218.08515,14481.54654,1366.989972,1332.91754,147.0171971,10908.87006,2837.14406,4115.942562,11617.90769,7136.899889,4939.995007,1136.017941,951.9970947,13102.9354,15441.59664,4092.387128,10524.57901,5561.077445,120350.6305,99231.92873,203993.2958,197821.5156,58642.46133,1728.987823,76.77117944,10792.27397,19500.11877,1540604.418
2012_REC_ktoe,6592.986625,8969.008537,3079.672328,43859.83159,7565.077601,3310.16396,3747.722417,731.3152881,9765.855233,19567.83428,26880.02135,2374.250002,2925.043601,2017.922738,680.6515392,374.6318059,18049.14264,13833.02752,1616.643273,1430.570434,159.7339666,10690.10463,3031.517925,3958.072419,12029.30104,7410.83651,4181.287864,1072.497383,984.4431025,13356.10231,16614.38602,4500.325717,11056.29274,6129.027303,122663.5702,98117.12728,217016.092,197739.1901,60747.54646,1625.553819,79.22208288,10825.5135,21390.7684,1582010.103
2013_REC_ktoe,7371.758562,9527.801351,3394.120208,43985.24638,8027.14543,3569.066868,3713.704339,740.1314055,9661.099753,21633.74666,27672.98928,2496.049904,3072.650735,2068.59712,766.6155152,467.6734294,19750.71903,15027.15755,1519.568569,1486.508035,217.3098832,11038.21823,3023.427755,4008.484551,11945.23074,7628.474797,4895.114237,1129.238919,1074.314983,13746.93068,15989.77204,4608.620643,11849.06753,7807.100042,130295.4996,97110.47625,221858.9675,197666.6321,56724.50469,1754.878856,94.07094733,10935.92557,22005.21391,1630061.544
2014_REC_ktoe,7538.165118,9347.981532,3619.616645,43613.65547,6655.763785,3734.677473,3941.366393,732.6828909,10307.16075,20111.96408,29127.42337,2494.745593,2776.589755,2098.555563,869.1935254,526.3325286,19876.94185,16702.78312,1556.733223,1603.568438,250.8249721,11585.44176,3141.263183,4323.70483,11537.6582,7543.772191,4929.466758,1192.321573,1050.798927,13649.74297,15858.1625,4301.913646,9983.479758,9086.285518,132638.636,97351.82554,235192.9556,197392.5045,56424.10618,1703.648219,111.44497,11270.32916,23275.98944,1662749.323
2015_REC_ktoe,7424.272744,9290.431222,3780.401996,43468.80843,6223.375648,3766.158164,4504.191937,781.9906806,10567.13053,20663.72581,31384.02728,2822.927518,2934.495683,2206.130299,953.0020124,548.3787264,19629.45107,18493.13367,1444.295831,1704.655011,323.1404028,11040.83939,3323.424015,4359.747258,11793.57641,7921.020545,4410.345259,1345.475939,999.6097272,12957.2791,17204.35442,4704.814804,12518.41306,10985.26128,131682.1302,99730.42188,243438.1331,199481.5683,54326.59889,1707.917833,133.4785445,11351.50699,22408.5523,1698494.742
